"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","647","should login with invalid login","","2026-03-06","passed","2026-03-06","","users\login.spec.js","",""
"","1409","should create a new user with a duplicate email","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","263","should search a user by invalid id","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","478","should delete user successfully","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","230","should delete user invalid id","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","334","should create a new user successfully","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","1030","should create a new product successfully","","2026-03-06","passed","2026-03-06","","products\products.spec.js","",""
"","1492","should create a new cart successfully","","2026-03-06","passed","2026-03-06","","carts\carts.spec.js","",""
"","464","should update user successfully","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","454","should search a user by valid id","","2026-03-06","passed","2026-03-06","","users\users.spec.js","",""
"","950","should login successfully","","2026-03-06","passed","2026-03-06","","users\login.spec.js","",""
