"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","should delete user invalid id","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","60","should search a user by invalid id","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","68","should login with invalid login","","2026-03-06","passed","2026-03-06","","users/login.spec.js","",""
"","128","should login successfully","","2026-03-06","passed","2026-03-06","","users/login.spec.js","",""
"","314","should create a new product successfully","","2026-03-06","passed","2026-03-06","","products/products.spec.js","",""
"","121","should search a user by valid id","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","142","should update user successfully","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","121","should delete user successfully","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","86","should create a new user successfully","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
"","476","should create a new cart successfully","","2026-03-06","passed","2026-03-06","","carts/carts.spec.js","",""
"","169","should create a new user with a duplicate email","","2026-03-06","passed","2026-03-06","","users/users.spec.js","",""
